date,Energy_Consumption,Air_Temperature,Humidity,SolarRadiation,Cool_Temperature,Heat_Temperature,Interior_Temperature,Exterior_Temperature,Total_Occupants,Wifi_Users
01/01/2018,6287.680033,10.80526042,82.4490625,88.69645833,,,21.22549826,67.94237609,1,0
02/01/2018,8042.225018,13.71567708,50.41635417,45.9625,,,21.56018793,68.53026716,4,0
03/01/2018,7890.810021,13.77432292,53.8465625,23.5015625,,,22.84431858,68.44876994,7,0
04/01/2018,8114.895017,13.61463542,80.60635417,52.46552083,,,23.27306445,69.58635416,11,0
05/01/2018,7711.14,14.09526042,87.0134375,20.31375,,,23.07988194,70.73710783,8,0
06/01/2018,6604.300007,10.30203125,90.1584375,101.3633333,,,22.28900521,69.31705057,1,0
07/01/2018,6072.895004,9.887708333,83.43635417,40.65916667,,,22.40200955,67.86168074,11,0
08/01/2018,7709.780001,10.8175,87.7978125,10.59552083,73.80193165,69.7029435,23.31423134,67.43679002,7,0
09/01/2018,7793.124991,12.82776042,90.925,26.13364583,73.57638889,69.52638889,23.48659201,,12,0
10/01/2018,7843.675004,9.320208333,84.30572917,32.85020833,73.61649306,69.56649306,23.4609579,67.95248823,22,0
11/01/2018,8506.400034,11.01901042,89.760625,69.8953125,73.60321181,69.55321181,23.4798138,68.13349493,23,0
12/01/2018,7925.165009,11.45640625,84.63270833,115.0352083,76.81119792,66.52048611,23.09988021,,19,0
13/01/2018,6299.840001,12.79317708,64.07125,115.2438542,78.425,64.975,22.59584375,69.59857143,2,0
14/01/2018,5852.599999,11.12619792,74.50625,79.59260417,74.79166667,68.45694444,22.82727648,68.96158089,5,0
15/01/2018,6212.074998,12.7959375,65.28104167,81.664375,73.625,69.575,23.37968359,68.34859872,7,0
16/01/2018,7827.439811,12.60192708,89.0196875,54.82072917,73.625,69.575,23.45535135,69.39587758,10,0
17/01/2018,8146.938709,12.43739583,86.00520833,102.2319792,73.625,69.575,23.45707639,70.32074701,13,0
18/01/2018,8031.430517,11.71619792,88.0484375,23.373125,73.625,69.575,23.47255035,71.15874703,29,0
19/01/2018,7509.545784,9.012864583,82.40677083,96.17864583,76.16892911,66.16440422,23.39732205,68.04202073,3,0
20/01/2018,6236.600179,7.256145833,67.87270833,128.6555208,75.27322172,67.36376398,23.24728125,68.0340165,1,0
21/01/2018,5684.724996,8.447135417,70.89979167,94.07666667,73.58918117,69.60393174,22.70572483,67.19461727,2,0
22/01/2018,6273.612232,10.23442708,82.32614583,82.65520833,73.625,69.575,22.87955729,66.52975992,20,0
23/01/2018,7642.152764,8.841822917,80.23854167,124.5565625,73.625,69.575,23.29399002,71.21448276,15,0
24/01/2018,8954.645015,10.14140625,79.23822917,44.92114583,73.625,69.575,23.65876519,70.97200064,15,0
25/01/2018,8458.039974,8.226822917,83.55354167,91.85885417,73.625,69.575,23.74672157,70.15169041,13,0
26/01/2018,8617.325007,7.96921875,80.80604167,134.3555208,76.81119792,66.52048611,23.81219488,69.6249469,3,0
27/01/2018,6640.444999,9.01375,68.74416667,126.324375,75.04166667,68.21736111,23.68402474,68.99390523,2,0
28/01/2018,6900.02,12.25276042,66.41677083,139.7171875,73.625,69.575,24.02767361,69.42953927,19,0
29/01/2018,8238.955012,14.12390625,52.98979167,72.37145833,73.61006944,69.56006944,24.20336415,70.08496633,29,0
30/01/2018,8395.595,13.76635417,54.61395833,134.9355208,73.575,69.525,24.17846137,70.25571759,17,0
31/01/2018,8997.339995,15.01369792,59.7834375,142.016875,73.58420139,69.53420139,24.06308247,70.91901444,17,0
01/02/2018,9160.339998,16.68479167,40.1559375,133.059375,73.625,69.575,23.94163151,71.08100899,18,0
02/02/2018,8873.44499,18.59625,41.95666667,138.9425,76.81232639,66.51970486,23.54104384,71.68308824,1,0
03/02/2018,7194.795001,18.83947917,40.5678125,149.6846875,75.04166667,68.21736111,23.05295139,71.84328431,1,0
04/02/2018,8013.50999,19.509375,42.96989583,129.3661458,73.625,69.575,23.01018837,71.22958878,17,0
05/02/2018,8711.815006,19.15239583,46.0721875,135.9567708,73.625,69.575,22.53586458,71.14709967,22,0
06/02/2018,11412.6,19.54682292,27.6084375,157.1270833,73.625,69.575,23.0932088,71.40314679,21,0
07/02/2018,8875.914989,17.87255208,30.73385417,154.4048958,73.625,69.575,23.62279442,72.38057734,17,0
08/02/2018,9197.229999,18.08911458,45.5753125,154.9039583,73.625,69.575,23.75576997,71.95589251,16,0
09/02/2018,8578.871794,19.40916667,38.04854167,155.5646875,76.81232639,66.52048611,23.28538976,,1,0
10/02/2018,6817.598065,16.8021875,36.36072917,148.97125,75.04166667,68.21736111,22.48260286,,1,0
11/02/2018,6281.250135,12.68072917,30.756875,98.88916667,73.54929442,69.64275479,23.02852303,71.12833333,16,0
12/02/2018,8064.859998,8.34515625,66.24760417,158.8753125,73.79835787,70.34176149,23.58645185,70.07729666,14,0
13/02/2018,7023.279992,10.70552083,34.71947917,165.41,74.07774335,70.15352283,23.65270278,70.19018836,13,0
14/02/2018,7710.014251,12.02734375,33.84239583,138.1476042,73.90686769,70.11509201,23.90715417,70.72466799,9,0
15/02/2018,7611.030734,9.4490625,57.428125,176.7022917,73.65,69.6,23.72129907,70.43311138,14,0
16/02/2018,7906.745001,12.61416667,29.4384375,173.0595833,76.83836806,66.54479167,23.2099375,70.60774646,4,0
17/02/2018,6908.794992,13.67177083,39.1196875,170.6114583,75.06666667,68.24236111,22.7032838,70.77218137,2,0
18/02/2018,6093.34998,10.01182292,70.63697917,167.3678125,73.65,69.6,23.10504907,70.68374864,4,0
19/02/2018,5776.480002,5.054479167,56.60947917,171.1842708,73.65,69.6,23.50768056,68.87664692,11,0
20/02/2018,7337.91867,5.02546875,51.98770833,156.9913542,73.65,69.6,23.59512407,67.3987777,13,0
21/02/2018,8184.572193,6.412604167,56.61979167,170.600625,73.65,69.6,23.46771852,68.13223741,6,0
22/02/2018,7890.495713,6.607864583,62.87927083,151.7126042,73.65,69.6,22.39140406,68.87116762,0,0
23/02/2018,7300.993586,5.128489583,52.63197917,186.2353125,76.83819444,66.54461806,22.04111372,68.09271242,0,0
24/02/2018,6392.659813,7.051979167,52.72239583,176.0746875,75.06666667,68.24236111,22.036125,68.41109069,0,0
25/02/2018,6338.38999,7.857552083,64.87697917,186.1819792,73.65,69.6,21.84771181,68.27702206,0,0
26/02/2018,6421.894998,8.169947917,71.62416667,159.8911458,73.65,69.6,22.33091493,69.15181781,0,0
27/02/2018,,6.12734375,50.6975,189.1690625,73.65,69.6,22.32857595,68.54119962,0,0
28/02/2018,,7.596666667,59.50145833,77.1009375,73.65,69.6,22.66723698,69.23860294,0,0
01/03/2018,7285.490011,8.892604167,88.41864583,66.51875,73.65,69.6,22.87951649,69.56618679,0,0
02/03/2018,7185.543331,7.0096875,78.22020833,76.82572917,76.85381944,66.56215278,22.60866493,69.09869015,0,0
03/03/2018,6639.561663,6.295,79.74729167,124.7053125,75.07404514,68.24973958,21.91934028,68.0238031,0,0
04/03/2018,6511.190001,6.3725,74.58489583,188.3646875,73.65,69.6,21.49122743,67.33587418,0,0
05/03/2018,7276.880001,8.59140625,54.488125,210.3740625,73.65,69.6,21.81829774,68.13772463,0,0
06/03/2018,8155.824999,12.1521875,40.03864583,196.9563542,73.65,69.6,22.84300651,69.77880459,0,0
07/03/2018,8441.679997,13.98104167,46.49552083,176.1438542,73.65,69.6,23.38819965,70.50415757,0,0
08/03/2018,8207.579998,13.13625,67.854375,158.4345833,73.65,69.6,23.6665,71.09913187,0,0
09/03/2018,8233.71499,11.35859375,80.2203125,169.6722917,76.85685764,66.55833333,23.64386341,72.199827,0,0
10/03/2018,7315.755002,10.89942708,86.98020833,61.26479167,75.07404514,68.24973958,23.43713628,70.34844741,0,0
11/03/2018,7295.349999,11.594375,82.665625,197.8115625,73.65,69.6,22.93177778,69.81781182,0,0
12/03/2018,3644.105007,14.62078125,68.04052083,155.2359375,73.65,69.6,23.37315321,70.70287854,0,0
13/03/2018,2041.465002,13.09875,88.386875,66.47291667,73.65,69.6,23.71600955,70.92362881,0,0
14/03/2018,1924.734997,9.0521875,84.62072917,153.2573958,73.65,69.6,23.41403168,69.92471184,0,0
15/03/2018,2167.629996,7.618072917,78.286875,77.555625,73.65,69.6,23.03128296,69.168752,0,0
